company,gvkey
SYMBIO HOLDINGS LTD,277814
SYMBION HEALTH LTD,18934
TAB LTD,218981
TABCORP HOLDINGS LTD,222202
TALENT2 INTERNATIONAL LTD,248824
TAMAWOOD LTD,249516
TANDOU LTD,234963
TAP OIL LTD,213448
TASSAL GROUP,259076
TASSAL LTD,203887
TATTS GROUP LTD,273384
TDG LOGISTICS LTD,242992
TECHNOLOGY ONE LTD,241419
TELECASTERS AUSTRALIA LTD,101707
TELSTRA GROUP LIMITED,210216
TEMPO SERVICES LTD,212648
TEN NETWORK HOLDINGS LTD,101709
TEN SIXTY FOUR LIMITED,259622
TEXT MEDIA GROUP LTD,247761
THAKRAL HLDGS LTD,210880
THE CITADEL GROUP LTD,318669
THE MAC SERVICES GROUP LTD,284307
THE STAR ENTERTAINMENT GROUP,297921
THINK CHILDCARE LTD,318504
THO SERVICES LTD,248818
THORN GROUP LTD,281811
TICOR LTD,205197
TIMBERCORP LTD,242538
TITANIUM SANDS LTD,213644
TOLL HOLDINGS LTD,209128
TOP EDUCATION GRP,327173
TOURISM ASSET HLDGS LTD,212649
TOX FREE SOLUTIONS LTD,253404
TOYS'R'US ANZ LTD,247829
TPC CONSOLIDATED LTD,285372
TPG CORPORATION LTD,253468
TRADITIONAL THERAPY CLINICS,320304
TRAFFIC TECHNOLOGIES LTD,272259
TRANSMETRO CORP LTD,253647
TRANSONIC TRAVEL LTD,270240
TRANSURBAN GROUP,212650
TREASURY WINE ESTATES LTD,297352
TRIAKO RESOURCES,253389
TRIANGLE ENERGY (GLOBAL) LTD,275101
TRIBECA LEARNING LTD,253387
TRIBUNE RESOURCES LTD,253385
TROY RESOURCES LTD,214644
TTA HOLDINGS LTD,275475
TUTT BRYANT GROUP LTD,274848
UCMS GROUP LTD,285122
UECOMM LTD,241001
UGL LTD,212651
UNITAB LTD,232456
UNITED ENERGY LTD,222764
UNITED MALT GRP LTD,337815
UNITY MINING LTD,200694
UNIVERSAL STORE HOLDINGS LTD,344059
UTILITY SERVICES CORP LTD,212646
UXC LTD,234778
VDM GROUP LTD,275465
VECOMMERCE LTD,244821
VEDA ADVANTAGE LTD,226137
VEDA GROUP LTD,316808
VEEM LTD,322612
VENTIA SERVICES GROUP LTD,351070
VENTRACOR LTD,242790
VERIS LTD,289302
VIDELLI LTD,202057
VIETNAM INDUSTRIAL INVTS LTD,249519
VIKING INDUSTRIES,210919
VILLA WORLD LTD (OLD),209422
VILLAGE ROADSHOW LTD,209423
VIRGIN AUSTRALIA HLDGS LTD,259440
VIRIDIS CLEAN ENERGY,274021
VIRTUS HEALTH LTD,315488
VISION EYE INSTITUTE LTD,271536
VISION SYSTEMS LTD,209428
VITA GROUP LIMITED,274457
VITA LIFE SCIENCES LTD,247302
VIVA ENERGY GROUP,327665
VOCUS GROUP LTD,256538
VOLANTE GROUP LTD,242593
VOXSON LTD,242591
WAGNERS HOLDING CO,326138
WAKENBY LTD,285883
WAMEJA LTD,246007
WARRNAMBOOL CHEESE & BUTTER,270869
WATERCO LTD,253370
WATPAC LTD,247488
WATTYL LTD,101661
WD & HO WILLS HOLDINGS LTD,105120
WDS LIMITED,281748
WEBCENTRAL GROUP LTD,234498
WEBCENTRAL GROUP LTD,211534
WEBJET LTD,253367
WESFARMERS LTD,101601
WESFI LTD,209501
WESTERN AREAS LTD,253358
WESTERN AUST DIAMOND TRUST,209490
WESTERN METALS COPPER LTD,100842
WHITEHAVEN COAL LTD,284808
WILLMOTT FORESTS LTD,253349
WINGARA AG LIMITED,247593
WINHA COMMERCE & TRADE INTL,323228
WISETECH GLOBAL LTD,321501
WISR LTD,248144
WOODSIDE ENERGY GROUP LTD,100712
WOOLWORTHS GROUP LTD,100894
WORLEY LTD,254665
WOTIF.COM HOLDINGS LTD,277907
WPP AUNZ LTD,201728
WRIDGWAYS AUSTRALIA LTD,247506
XENITH IP GROUP LTD,320734
XRF SCIENTIFIC LTD,281520
XTEK LTD,274028
YANCOAL AUSTRALIA LTD,313077
ZENYTH THERAPEUTICS,213498
ZICOM GROUP LTD,253327
