company,gvkey
CITECT CORP LTD,205818
CITIC AUSTRALIA TRADING LTD,254902
CITY CHIC COLLECTIVE LTD,241401
CLASS LTD,320926
CLEANAWAY WASTE MGMT LTD,272847
CLELAND (P) ENTERPRISES LTD,211560
CLIMAX MINING LTD,210247
CLIVPEE LTD,274073
CLOUGH LTD,241378
CLOVER CORP LTD,242643
CMA CORPORATION LTD,273420
COAL & ALLIED INDUSTRIES LTD,100053
COATES HIRE LTD,213101
COCA-COLA AMATIL LTD,100192
COCHLEAR LTD,212635
CODAN LTD,259267
COFFEY INTL,211562
COLES GROUP LTD,329498
COLES GROUP LTD - OLD,14977
COLLECTION HOUSE LTD,242336
COLLINS FOODS LTD,298537
COLLY COTTON LTD,210250
COLORADO GROUP LTD,241899
COLORPAK LTD,270294
COMALCO LTD,17774
COMET RESOURCES LTD,247687
COMMANDER COMMUNICATIONS,242340
COMPASS HOTEL GROUP LTD,287751
CONCEPT HIRE LTD,248822
CONNECTEAST GROUP,271813
CONSOLIDATED CAPITAL INVT,248282
CONSOLIDATED MEDIA HLDGS LTD,104944
CONSOLIDATED MINERALS LTD,206199
CONSOLIDATED RUTILE LTD,101671
CONSTELLATION TECHNOLOGIES,242599
CORPORATE EXPRESS AUSTRALIA,211368
CORPORATE TRAVEL MGMT LTD,296280
CORUM GROUP LTD,254382
COSTA GROUP HOLDINGS,320129
COSTAEXCHANGE LTD,246001
COUNTRY ROAD LTD,200998
COVENTRY GROUP LTD,201317
CPI GROUP LTD,200956
CPT GLOBAL LTD,248816
CRANE GROUP LTD,101540
CREDIT INTELLIGENCE LTD,291150
CROWE HORWATH AUSTRALASIA,242377
CROWN RESORTS LTD,222301
CRYOSITE LTD,253324
CSG LTD,284377
CSL LTD,223003
CSR LTD,17544
CTI LOGISTICS LTD,221464
CUDGEN RZ LTD,101666
CUMNOCK COAL LTD,207044
CYCLOPHARM LTD,282321
DALRYMPLE BAY INFRASTRUCTURE,345710
DANKS HOLDINGS LTD,201559
DARK BLUE SEA LTD,247527
DATA3 LTD,242679
DATACRAFT LTD,201568
DAVID JONES LTD,100891
DCA GROUP LTD,242681
DECMIL GROUP LTD,272816
DEEP YELLOW LTD,102202
DELTA GOLD NL,201597
DELTA SBD LIMITED,296331
DETERRA ROYALTIES LTD,342576
DEVINE LTD,212621
DEXION LTD,272846
DIORO EXPLORATION NL,210256
DIPLOMA GROUP LTD,287978
DOMAIN HOLDINGS AUSTRALIA LT,325957
DOMINION MINING LTD,103127
DOMINOS PIZZA ENTERPRISES LT,273011
DONACO INTERNATIONAL LTD,271731
DONGFANG MODERN AGRICULT,320259
DOWNER EDI LTD,241380
DRAGON MINING LTD,251638
DUET GROUP,268956
DUSK GROUP LIMITED,340392
DWS LTD,278119
E-PAY ASIA LTD,253479
EAGERS AUTOMOTIVE LTD,221877
EAGLE HEALTH HOLDI,324881
EARLYPAY LTD,294057
EARTH SANCTUARIES LTD,246005
EAST AFRICAN COFFEE PLANTTNS,253337
EASTERN ALUMINUM LTD,206143
ECORP LTD,234796
ECOSAVE HLDGS LTD,314648
ECTEC LTD,201744
EDU HOLDINGS LIMITED,271317
EFTEL LTD,248807
EL CORP LTD,201571
ELANOR INVESTORS GROUP,318006
ELDERS LTD,202362
ELTIN LTD,202004
EMAIL LTD,100471
EMBELTON LTD,249486
EMECO HOLDINGS LTD,278546
EMPEROR MINES LTD,104725
EMPIRED LTD,286936
ENDEAVOUR GROUP LIMITED,348897
ENECO REFRESH LTD,275903
ENERGY ACTION LTD,303689
ENERGY DEVELOPMENTS LTD,202019
ENERGY ONE LTD,282303
ENERGY RESOURCES OF AUSTRALI,100823
ENERGY WORLD CORP LTD,202023
ENERO GROUP LTD,270802
ENGENCO LTD,281816
ENGIN LTD,242793
ENVESTRA LTD,226180
ENVIRONMENTAL CLEAN TECH LTD,211574
ENVIRONMENTAL GROUP LTD,253402
EPHRAIM RESOURCES LTD,220260
EQUATORIAL MINING LTD,202046
EQUIGOLD NL,246006
ERM POWER LTD,296250
ESPREON LTD,253606
ESSA AUSTRALIA LTD,271194
ESSITY AUSTRALASIA,317892
ESTIA HEALTH LTD,318790
ETHANE PIPELINE INCOME FUND,278943
ETRADE AUSTRALIA LTD,231298
EUMUNDI GROUP LTD,249491
EVANS DEAKIN INDUSTRIES LTD,101507
EVOLUTION MINING LTD,253350
EVT LIMITED,200157
EVZ LTD,249525
EXCEL COAL LTD,270220
EXCELSIOR CAPITAL LTD,246003
EXPERIENCE CO LTD,319476
EYECARE PARTNERS LTD,256503
EZZ LIFE SCIENCE HOLDINGS,346301
FAIRFAX MEDIA LTD,104958
FANTASTIC HOLDINGS LTD,242710
FELIX RESOURCES LTD,205083
FFI HOLDINGS LTD,253436
FH FAULDING & CO LTD,101544
FINEMORE HOLDINGS LTD,202186
FIRST GRAPHENE LTD,253407
FLAT GLASS INDUSTRIES LTD,281415
FLEETWOOD LTD,242719
FLIGHT CENTRE TRAVEL GROUP,207300
FLUENCE CORPORATION LTD,287853
FOODLAND ASSOCIATED LTD,202257
FOREST ENTERPRISES AUSTRALIA,242723
FORGE GROUP LTD,285172
FORTESCUE METAL GROUP,212427
FOSTER'S GROUP LTD,20421
FREEDOM GROUP LTD,212855
FUTURE FIRST TECHNOLOGIES,316763
G8 EDUCATION LTD,287566
GALE PACIFIC LTD,252585
GASNET AUSTRALIA GROUP,252261
GAZAL CORP LTD,202506
GEARHART AUSTRALIA LTD,202511
GENUSPLUS GROUP LIMITED,345340
GEORGE WESTON FOODS LTD,100332
GERARD LIGHTING GROUP LTD,294652
GIRALIA RESOURCES NL,202567
GLG CORP LTD,274813
GLOBAL CONSTRUCTION SERVICES,285881
GLOBAL STRATEGIC METALS NL,222318
GLOBAL TELEVISION LTD,212647
GLOBE INTERNATIONAL LTD,246838
GLOUCESTER COAL LTD,201113
GO ENERGY GROUP LTD,253472
GODFREYS GROUP LTD,318819
GOLD ROAD RESOURCES LTD,278245
GOODMAN FIELDER LTD,274904
GOODMAN FIELDER LTD - OLD,100993
GR ENGINEERING SERVICES LTD,297276
GRAINCORP LTD,241386
GRAND HOTEL GROUP,213102
GRANGE RESOURCES LTD,212428
GRD LTD,209312
GREAT CENTRAL MINES NL,27898
GREAT SOUTHERN LTD,232105
GREEN'S FOODS LTD,202655
GREENCAP LTD,210599
GREENCROSS LIMITED,285030
GREENVALE ENERGY LTD,210268
GRIBBLES GROUP LTD (THE),241398
GUD HOLDINGS LTD,101568
GUNNS LTD,211366
GWA GROUP LTD,101742
HAMILTON ISLAND LTD,210603
HANCOCK & GORE LTD,242602
HANSEN TECHNOLOGIES LTD,242369
HAOMA MINING NL,202741
HARDMAN RESOURCES LTD,221254
HARRIS SCARFE HOLDINGS LTD,201579
HARVEY NORMAN HLDGS LTD,203007
HEALIUS LTD,241405
HEALTH AND PLANT PROTEIN GRP,211546
HEALTHSCOPE LTD,210869
HEEMSKIRK CONSOLIDATED LTD,271195
HELIX RESOURCES NL,203038
HELLOWORLD TRAVEL LTD,249497
HENRY WALKER ELTIN GROUP LTD,203046
